,UTCDateTime,Pressao (mB),Temperatura (°C),Umidade (%),ur_correnteMotor,UR_KWH,UR_KWh_TR,UR_TEMP_ENTRADA,UR_TEMP_SAIDA,ur_temp_entrada_condensacao,ur_temp_saida_condensacao,temp_externa,TR,delta_AG,delta_AC,FimDeSemana,HorarioComercial,VAG Predio,Ligados
753,2023-06-21 10:30:00,1017.9,19.15,64.5,27.899999618530273,50.0,0.33617690205574036,12.199999809265137,6.900000095367432,23.200000762939453,24.5,22.56292724609375,148.73121768404442,5.299999713897705,1.2999992370605469,0,1,30.455675159891445,77.77777777777777
754,2023-06-21 11:00:00,1018.0,20.1,62.0,28.899999618530273,53.0,0.34724390506744385,12.5,6.900000095367432,23.399999618530273,24.799999237060547,23.31205177307129,152.63046874704975,5.599999904632568,1.3999996185302734,0,1,31.24194059272607,77.77777777777777
755,2023-06-21 11:30:00,1018.3,21.05,56.5,29.700000762939453,55.0,0.3666740953922272,12.5,7.0,23.799999237060547,25.200000762939453,24.211406707763672,149.99696103747692,5.5,1.4000015258789062,0,1,32.45799018442631,80.55555555555556
756,2023-06-21 12:00:00,1018.6,21.9,52.0,31.600000381469727,58.0,0.3607158362865448,12.600000381469727,7.5,24.0,25.600000381469727,24.96153450012207,160.7913880274612,5.100000381469727,1.6000003814697266,0,1,34.746059008770516,80.55555555555556
757,2023-06-21 12:30:00,1018.6,22.05,53.5,34.599998474121094,64.0,0.3551707863807678,13.0,7.0,24.600000381469727,26.299999237060547,25.707277297973633,180.19500041703188,6.0,1.6999988555908203,0,1,35.52698581914107,80.55555555555556
758,2023-06-21 13:00:00,1018.5,22.5,54.0,36.79999923706055,71.0,0.3651328384876251,13.199999809265137,7.0,24.700000762939453,26.5,26.007503509521484,194.44977968588353,6.199999809265137,1.7999992370605469,0,1,36.93857028252549,80.55555555555556
759,2023-06-21 13:30:00,1018.3,23.35,48.5,45.29999923706055,89.0,0.5110122561454773,13.300000190734863,7.199999809265137,25.100000381469727,26.700000762939453,26.60491180419922,174.16412019414085,6.100000381469727,1.6000003814697266,0,1,39.19547480179204,80.55555555555556
760,2023-06-21 14:00:00,1018.1,23.7,45.0,29.899999618530273,71.0,0.3881181478500366,13.399999618530273,7.199999809265137,25.5,27.100000381469727,26.90423583984375,182.93398645052125,6.199999809265137,1.6000003814697266,0,1,39.81474796103107,80.55555555555556
761,2023-06-21 14:30:00,1017.75,23.75,46.0,36.79999923706055,69.0,0.3358711302280426,13.399999618530273,7.099999904632568,25.5,27.5,27.499940872192383,205.4359359589848,6.299999713897705,2.0,0,1,40.32928015622828,80.55555555555556
762,2023-06-21 15:00:00,1017.4,24.2,48.0,41.70000076293945,81.0,0.36295372247695923,13.800000190734863,7.199999809265137,25.5,27.5,27.64876937866211,223.16894684870462,6.600000381469727,2.0,0,1,40.690572041604256,80.55555555555556
763,2023-06-21 15:30:00,1016.8499999999999,24.65,50.5,43.5,88.0,0.4157959520816803,13.699999809265137,7.800000190734863,25.299999237060547,27.5,27.94826316833496,211.64227203133763,5.899999618530273,2.200000762939453,0,1,40.816725404726135,80.55555555555556
764,2023-06-21 16:00:00,1016.3,25.0,53.0,50.0,100.0,0.40350213646888733,13.300000190734863,7.599999904632568,25.399999618530273,27.700000762939453,28.245582580566406,247.83016237563504,5.700000286102295,2.3000011444091797,0,1,41.388269098268616,80.55555555555556
765,2023-06-21 16:30:00,1016.0999999999999,24.15,54.5,48.099998474121094,95.0,0.3625926971435547,13.300000190734863,7.5,25.200000762939453,27.600000381469727,28.095312118530273,262.0019673545394,5.800000190734863,2.3999996185302734,0,1,40.741738840937614,80.55555555555556
766,2023-06-21 17:00:00,1016.0,23.1,56.0,49.900001525878906,103.0,0.3776964247226715,13.5,7.199999809265137,25.0,27.299999237060547,27.495582580566406,272.7057850114125,6.300000190734863,2.299999237060547,0,0,41.4078772250149,80.55555555555556
767,2023-06-21 17:30:00,1015.75,23.05,58.0,49.29999923706055,107.0,0.3523012101650238,14.100000381469727,7.699999809265137,25.200000762939453,27.299999237060547,27.644262313842773,303.71737851788646,6.40000057220459,2.0999984741210938,0,0,41.78812783790959,80.55555555555556
768,2023-06-21 18:00:00,1015.6,23.3,57.0,48.099998474121094,94.0,0.32450276613235474,14.0,7.400000095367432,25.200000762939453,27.299999237060547,27.49452781677246,289.67395600461623,6.599999904632568,2.0999984741210938,0,0,41.83515918751558,80.55555555555556
769,2023-06-21 18:30:00,1015.55,23.15,57.0,45.900001525878906,90.0,0.35449084639549255,14.0,7.099999904632568,25.200000762939453,27.299999237060547,27.044429779052734,253.88525801196647,6.900000095367432,2.0999984741210938,0,0,41.21337752044201,80.55555555555556
770,2023-06-21 19:00:00,1015.5,22.7,63.0,46.70000076293945,89.0,0.38471460342407227,14.0,7.099999904632568,25.5,27.600000381469727,26.59438133239746,231.34032139116638,6.900000095367432,2.1000003814697266,0,0,40.92802428371377,80.55555555555556
771,2023-06-21 19:30:00,1015.45,22.15,68.5,43.900001525878906,87.0,0.3521340787410736,13.800000190734863,7.5,25.5,27.700000762939453,25.997873306274414,247.0649824948401,6.300000190734863,2.200000762939453,0,0,41.34541553093327,80.55555555555556
772,2023-06-21 20:00:00,1015.5,21.6,71.0,49.70000076293945,103.0,0.43785974383354187,13.600000381469727,7.5,25.399999618530273,27.700000762939453,25.097618103027344,235.2351442455436,6.100000381469727,2.3000011444091797,0,0,40.59997873008251,80.55555555555556
773,2023-06-21 20:30:00,1015.35,21.450000000000003,67.5,53.20000076293945,107.0,0.38222217559814453,13.399999618530273,7.199999809265137,25.299999237060547,27.700000762939453,24.497364044189453,279.9418946128761,6.199999809265137,2.4000015258789062,0,0,39.83860052128633,80.55555555555556
774,2023-06-21 21:00:00,1015.2,21.3,69.0,49.70000076293945,97.0,0.36479586362838745,13.0,7.199999809265137,25.0,27.299999237060547,24.34849739074707,265.90213780168455,5.800000190734863,2.299999237060547,0,0,38.27801457213031,80.55555555555556
