PointName,Tipo,Equipamento,Ponto
S1-ADX1:S1-ADX-NAE1/Programming.GERADORES.GMG1.GMG1-LIGADO.Present Value,,,
S1-ADX1:S1-ADX-NAE1/Programming.GERADORES.GMG1.GMG1-POSICAO-AUTOMATICO.Present Value,,,
S1-ADX1:S1-ADX-NAE1/Programming.GERADORES.GMG1.GMG1-POSICAO-MANUAL.Present Value,,,
S1-ADX1:S1-ADX-NAE1/Programming.GERADORES.GMG1.GMG1-POSICAO-O.Present Value,,,
S1-ADX1:S1-ADX-NAE1/Programming.GERADORES.GMG1.GMG1-PRESSAO- ALARME.Present Value,,,
S1-ADX1:S1-ADX-NAE1/Programming.GERADORES.GMG1.GMG1-SOBDESL-ALARME.Present Value,,,
S1-ADX1:S1-ADX-NAE1/Programming.GERADORES.GMG1.GMG1-SOBREVELOCIDADE-ALARME.Present Value,,,
S1-ADX1:S1-ADX-NAE1/Programming.GERADORES.GMG1.GMG1-SOBSEMDESL-ALARME.Present Value,,,
S1-ADX1:S1-ADX-NAE1/Programming.GERADORES.GMG1.GMG1-SUBFREQ-ALARME.Present Value,,,
S1-ADX1:S1-ADX-NAE1/Programming.GERADORES.GMG1.GMG1-SUBTENSAO-ALARME.Present Value,,,
S1-ADX1:S1-ADX-NAE1/Programming.GERADORES.GMG-2.GMG2-LIGADO.Present Value,,,
S1-ADX1:S1-ADX-NAE1/Programming.GERADORES.GMG-2.GMG-2-POSICAO-0.Present Value,,,
S1-ADX1:S1-ADX-NAE1/Programming.GERADORES.GMG-2.GMG-2-POSICAO-AUTOMATICO.Present Value,,,
S1-ADX1:S1-ADX-NAE1/Programming.GERADORES.GMG-2.GMG-2-POSICAO-MANUAL.Present Value,,,
S1-ADX1:S1-ADX-NAE1/Programming.GERADORES.GMG-2.GMG-2-PRESSAO-ALARME.Present Value,,,
S1-ADX1:S1-ADX-NAE1/Programming.GERADORES.GMG-2.GMG-2-SOBDES-ALARME.Present Value,,,
S1-ADX1:S1-ADX-NAE1/Programming.GERADORES.GMG-2.GMG-2-SOBREVELOCIDADE-ALARME.Present Value,,,
S1-ADX1:S1-ADX-NAE1/Programming.GERADORES.GMG-2.GMG-2-SOBSEMDES-ALARME.Present Value,,,
S1-ADX1:S1-ADX-NAE1/Programming.GERADORES.GMG-2.GMG-2-SUBFREQ-ALARME.Present Value,,,
S1-ADX1:S1-ADX-NAE1/Programming.GERADORES.GMG-2.GMG-2-SUBTENSAO-ALARME.Present Value,,,
S1-ADX1:S1-ADX-NAE1/Programming.GERADORES.GMG3.GMG3-LIGADO.Present Value,,,
S1-ADX1:S1-ADX-NAE1/Programming.GERADORES.GMG3.GMG3-POSICAO-0.Present Value,,,
S1-ADX1:S1-ADX-NAE1/Programming.GERADORES.GMG3.GMG3-POSICAO-AUTOMATICO.Present Value,,,
S1-ADX1:S1-ADX-NAE1/Programming.GERADORES.GMG3.GMG3-POSICAO-MANUAL.Present Value,,,
S1-ADX1:S1-ADX-NAE1/Programming.GERADORES.GMG3.GMG3-PRESSAO-ALARME.Present Value,,,
S1-ADX1:S1-ADX-NAE1/Programming.GERADORES.GMG3.GMG3-SOBDES-ALARME.Present Value,,,
S1-ADX1:S1-ADX-NAE1/Programming.GERADORES.GMG3.GMG3-SOBREVELOCIDADE-ALARME.Present Value,,,
S1-ADX1:S1-ADX-NAE1/Programming.GERADORES.GMG3.GMG3-SOBSEMDES-ALARME.Present Value,,,
S1-ADX1:S1-ADX-NAE1/Programming.GERADORES.GMG3.GMG3-SUBFREQ-ALARME.Present Value,,,
S1-ADX1:S1-ADX-NAE1/Programming.GERADORES.GMG3.GMG3-SUBTENSAO-ALARME.Present Value,,,
S1-ADX1:S1-ADX-NAE1/Programming.UR1_KWHTR.Present Value,,,
S1-ADX1:S1-ADX-NAE1/Programming.UR2_KWHTR.Present Value,,,
S1-ADX1:S1-ADX-NAE1/S1-ADX1-NAE1-TR1.Chiller 2.Analog Values.AV-26.Present Value,,,
S1-ADX1:S1-ADX-NAE1/S1-ADX1-NAE1-TR1.Chiller 2.Analog Values.AV-29.Present Value,,,
S1-ADX1:S1-ADX-NAE1/S1-ADX1-NAE1-TR1.Chiller 2.Analog Values.AV-35.Present Value,,,
S1-ADX1:S1-ADX-NAE1/S1-ADX1-NAE1-TR1.Chiller 2.Analog Values.AV-5.Present Value,,,
S1-ADX1:S1-ADX-NAE1/S1-ADX1-NAE1-TR1.Chiller 2.Analog Values.AV-6.Present Value,,,
S1-ADX1:S1-ADX-NAE1/S1-ADX1-NAE1-TR1.Chiller 2.Analog Values.AV-7.Present Value,,,
S1-ADX1:S1-ADX-NAE1/S1-ADX1-NAE1-TR1.Chiller 2.Analog Values.AV-8.Present Value,,,
S1-ADX1:S1-ADX-NAE1/S1-ADX1-NAE1-TR1.Chiller 2.Binary Values.BV-1.Present Value,,,
